accession,uniprot_entry_name,gene_symbol,protein_name,ensembl_gene_id,primary_topology_class,simplified_topology_bucket,antibody_accessibility_tier,final_accessible_in_vivo,final_accessibility_bucket,final_accessibility_confidence,surfy_surfaceome_support,surfy_tm_domains,surfy_topology,surfy_uniprot_subcellular,surfy_uniprot_keywords,hpa_predicted_secreted_support,uhlen_secretome_support,supporting_evidence_sources,has_nonisoform_surface_annotation,has_nonisoform_secreted_annotation,has_isoform_specific_surface_annotation,has_isoform_specific_secreted_annotation,has_peripheral_membrane_annotation,surface_topology_values,nonisoform_surface_locations,nonisoform_secreted_locations,relevant_keywords,classification_evidence,classification_notes,explored_as_therapeutic,total_asset_count,active_program_asset_count,discontinued_asset_count,approved_asset_count,phase3_asset_count,phase2_asset_count,phase1_asset_count,unknown_asset_count
Q8NGY1,O10Z1_HUMAN,OR10Z1,Olfactory receptor 10Z1 (Olfactory receptor OR1-15),,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,1,7,NC:1-24;TM:25-48;CY:49-59;TM:60-78;NC:79-97;TM:98-120;CY:121-139;TM:140-164;NC:165-198;TM:199-221;CY:222-240;TM:241-260;NC:261-271;TM:272-292;CY:293-313,Cell membrane (Multi-pass membrane protein),Cell membrane;Complete proteome;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Olfaction;Polymorphism;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Multi-pass membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Multi-pass membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=7 topology=NC:1-24;TM:25-48;CY:49-59;TM:60-78;NC:79-97;TM:98-120;CY:121-139;TM:140-164;NC:165-198;TM:199-221;CY:222-240;TM:241-260;NC:261-271;TM:272-292;CY:293-313,broad cell-surface count is inflated by multipass membrane proteins,0,0,0,0,0,0,0,0,0
Q9GZK7,O11A1_HUMAN,OR11A1,Olfactory receptor 11A1 (Hs6M1-18) (Olfactory receptor 11A2) (Olfactory receptor OR6-30),,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,1,7,NC:1-25;TM:26-50;CY:51-60;TM:61-80;NC:81-99;TM:100-121;CY:122-141;TM:142-165;NC:166-200;TM:201-222;CY:223-242;TM:243-262;NC:263-273;TM:274-293;CY:294-315,Cell membrane (Multi-pass membrane protein),Cell membrane;Complete proteome;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Olfaction;Polymorphism;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Multi-pass membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Multi-pass membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=7 topology=NC:1-25;TM:26-50;CY:51-60;TM:61-80;NC:81-99;TM:100-121;CY:122-141;TM:142-165;NC:166-200;TM:201-222;CY:223-242;TM:243-262;NC:263-273;TM:274-293;CY:294-315,broad cell-surface count is inflated by multipass membrane proteins,0,0,0,0,0,0,0,0,0
Q8NGC1,O11G2_HUMAN,OR11G2,Olfactory receptor 11G2 (Olfactory receptor OR14-34),,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,1,7,NC:1-62;TM:63-86;CY:87-97;TM:98-117;NC:118-136;TM:137-158;CY:159-177;TM:178-199;NC:200-242;TM:243-264;CY:265-275;TM:276-298;NC:299-311;TM:312-330;CY:331-345,Cell membrane (Multi-pass membrane protein),Cell membrane;Complete proteome;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Olfaction;Polymorphism;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Multi-pass membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Multi-pass membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=7 topology=NC:1-62;TM:63-86;CY:87-97;TM:98-117;NC:118-136;TM:137-158;CY:159-177;TM:178-199;NC:200-242;TM:243-264;CY:265-275;TM:276-298;NC:299-311;TM:312-330;CY:331-345,broad cell-surface count is inflated by multipass membrane proteins,0,0,0,0,0,0,0,0,0
Q8NG94,O11H1_HUMAN,OR11H1,Olfactory receptor 11H1 (Olfactory receptor OR22-1),,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,1,7,NC:1-39;TM:40-65;CY:66-73;TM:74-93;NC:94-113;TM:114-135;CY:136-154;TM:155-178;NC:179-215;TM:216-237;CY:238-256;TM:257-276;NC:277-289;TM:290-308;CY:309-326,Cell membrane (Multi-pass membrane protein),Cell membrane;Complete proteome;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Multi-pass membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Multi-pass membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=7 topology=NC:1-39;TM:40-65;CY:66-73;TM:74-93;NC:94-113;TM:114-135;CY:136-154;TM:155-178;NC:179-215;TM:216-237;CY:238-256;TM:257-276;NC:277-289;TM:290-308;CY:309-326,broad cell-surface count is inflated by multipass membrane proteins,0,0,0,0,0,0,0,0,0
B2RN74,O11HC_HUMAN,OR11H12,Olfactory receptor 11H12,,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,1,7,NC:1-39;TM:40-65;CY:66-73;TM:74-93;NC:94-113;TM:114-135;CY:136-154;TM:155-178;NC:179-215;TM:216-237;CY:238-256;TM:257-276;NC:277-289;TM:290-308;CY:309-326,Cell membrane (Multi-pass membrane protein),Cell membrane;Complete proteome;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Multi-pass membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Multi-pass membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=7 topology=NC:1-39;TM:40-65;CY:66-73;TM:74-93;NC:94-113;TM:114-135;CY:136-154;TM:155-178;NC:179-215;TM:216-237;CY:238-256;TM:257-276;NC:277-289;TM:290-308;CY:309-326,broad cell-surface count is inflated by multipass membrane proteins,0,0,0,0,0,0,0,0,0
Q8NH07,O11H2_HUMAN,OR11H2,Olfactory receptor 11H2 (Olfactory receptor OR14-1),,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,1,7,NC:1-39;TM:40-65;CY:66-73;TM:74-93;NC:94-113;TM:114-135;CY:136-154;TM:155-177;NC:178-215;TM:216-237;CY:238-256;TM:257-276;NC:277-289;TM:290-308;CY:309-326,Cell membrane (Multi-pass membrane protein),Cell membrane;Complete proteome;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Multi-pass membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Multi-pass membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=7 topology=NC:1-39;TM:40-65;CY:66-73;TM:74-93;NC:94-113;TM:114-135;CY:136-154;TM:155-177;NC:178-215;TM:216-237;CY:238-256;TM:257-276;NC:277-289;TM:290-308;CY:309-326,broad cell-surface count is inflated by multipass membrane proteins,0,0,0,0,0,0,0,0,0
Q8NGC9,O11H4_HUMAN,OR11H4,Olfactory receptor 11H4 (Olfactory receptor OR14-36),,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,1,7,NC:1-33;TM:34-58;CY:59-68;TM:69-88;NC:89-108;TM:109-130;CY:131-149;TM:150-172;NC:173-209;TM:210-231;CY:232-251;TM:252-271;NC:272-282;TM:283-302;CY:303-324,Cell membrane (Multi-pass membrane protein),Cell membrane;Complete proteome;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Olfaction;Polymorphism;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Multi-pass membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Multi-pass membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=7 topology=NC:1-33;TM:34-58;CY:59-68;TM:69-88;NC:89-108;TM:109-130;CY:131-149;TM:150-172;NC:173-209;TM:210-231;CY:232-251;TM:252-271;NC:272-282;TM:283-302;CY:303-324,broad cell-surface count is inflated by multipass membrane proteins,0,0,0,0,0,0,0,0,0
Q8NGC7,O11H6_HUMAN,OR11H6,Olfactory receptor 11H6 (Olfactory receptor OR14-35),,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,1,7,NC:1-44;TM:45-66;CY:67-76;TM:77-96;NC:97-116;TM:117-138;CY:139-157;TM:158-180;NC:181-218;TM:219-239;CY:240-259;TM:260-279;NC:280-290;TM:291-310;CY:311-330,Cell membrane (Multi-pass membrane protein),Cell membrane;Complete proteome;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Olfaction;Polymorphism;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Multi-pass membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Multi-pass membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=7 topology=NC:1-44;TM:45-66;CY:67-76;TM:77-96;NC:97-116;TM:117-138;CY:139-157;TM:158-180;NC:181-218;TM:219-239;CY:240-259;TM:260-279;NC:280-290;TM:291-310;CY:311-330,broad cell-surface count is inflated by multipass membrane proteins,0,0,0,0,0,0,0,0,0
Q8NGC8,O11H7_HUMAN,OR11H7,Olfactory receptor 11H7 (Olfactory receptor OR14-32),,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,1,7,NC:1-23;TM:24-48;CY:49-59;TM:60-81;NC:82-100;TM:101-120;CY:121-139;TM:140-164;NC:165-199;TM:200-221;CY:222-241;TM:242-261;NC:262-272;TM:273-292;CY:293-314,Cell membrane (Multi-pass membrane protein),Cell membrane;Complete proteome;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Olfaction;Polymorphism;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Multi-pass membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Multi-pass membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=7 topology=NC:1-23;TM:24-48;CY:49-59;TM:60-81;NC:82-100;TM:101-120;CY:121-139;TM:140-164;NC:165-199;TM:200-221;CY:222-241;TM:242-261;NC:262-272;TM:273-292;CY:293-314,broad cell-surface count is inflated by multipass membrane proteins,0,0,0,0,0,0,0,0,0
Q8NGX0,O11L1_HUMAN,OR11L1,Olfactory receptor 11L1,,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,1,7,NC:1-24;TM:25-48;CY:49-59;TM:60-81;NC:82-100;TM:101-120;CY:121-139;TM:140-161;NC:162-196;TM:197-221;CY:222-240;TM:241-260;NC:261-272;TM:273-292;CY:293-322,Cell membrane (Multi-pass membrane protein),Cell membrane;Complete proteome;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Olfaction;Polymorphism;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Multi-pass membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Multi-pass membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=7 topology=NC:1-24;TM:25-48;CY:49-59;TM:60-81;NC:82-100;TM:101-120;CY:121-139;TM:140-161;NC:162-196;TM:197-221;CY:222-240;TM:241-260;NC:261-272;TM:273-292;CY:293-322,broad cell-surface count is inflated by multipass membrane proteins,0,0,0,0,0,0,0,0,0
P0DN82,O12D1_HUMAN,OR12D1,Olfactory receptor 12D1,,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,0,,,,,0,0,UniProt,1,0,0,0,0,Multi-pass membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Multi-pass membrane protein],broad cell-surface count is inflated by multipass membrane proteins,0,0,0,0,0,0,0,0,0
P58182,O12D2_HUMAN,OR12D2,Olfactory receptor 12D2 (Hs6M1-20) (Olfactory receptor OR6-28),,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,1,7,NC:1-23;TM:24-46;CY:47-55;TM:56-76;NC:77-100;TM:101-121;CY:122-137;TM:138-156;NC:157-194;TM:195-220;CY:221-237;TM:238-259;NC:260-271;TM:272-291;CY:292-307,Cell membrane (Multi-pass membrane protein),Cell membrane;Complete proteome;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Olfaction;Polymorphism;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Multi-pass membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Multi-pass membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=7 topology=NC:1-23;TM:24-46;CY:47-55;TM:56-76;NC:77-100;TM:101-121;CY:122-137;TM:138-156;NC:157-194;TM:195-220;CY:221-237;TM:238-259;NC:260-271;TM:272-291;CY:292-307,broad cell-surface count is inflated by multipass membrane proteins,0,0,0,0,0,0,0,0,0
Q9UGF7,O12D3_HUMAN,OR12D3,Olfactory receptor 12D3 (Hs6M1-27) (Olfactory receptor OR6-27),,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,1,7,NC:1-23;TM:24-46;CY:47-56;TM:57-76;NC:77-98;TM:99-118;CY:119-137;TM:138-156;NC:157-194;TM:195-220;CY:221-231;TM:232-254;NC:255-271;TM:272-291;CY:292-316,Cell membrane (Multi-pass membrane protein),Cell membrane;Complete proteome;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Olfaction;Polymorphism;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Multi-pass membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Multi-pass membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=7 topology=NC:1-23;TM:24-46;CY:47-56;TM:57-76;NC:77-98;TM:99-118;CY:119-137;TM:138-156;NC:157-194;TM:195-220;CY:221-231;TM:232-254;NC:255-271;TM:272-291;CY:292-316,broad cell-surface count is inflated by multipass membrane proteins,0,0,0,0,0,0,0,0,0
Q8NGR1,O13A1_HUMAN,OR13A1,Olfactory receptor 13A1 (Olfactory receptor OR10-3),,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,1,7,NC:1-42;TM:43-66;CY:67-76;TM:77-97;NC:98-116;TM:117-137;CY:138-156;TM:157-176;NC:177-212;TM:213-239;CY:240-258;TM:259-278;NC:279-290;TM:291-310;CY:311-328,Cell membrane (Multi-pass membrane protein),Cell membrane;Complete proteome;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Multi-pass membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Multi-pass membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=7 topology=NC:1-42;TM:43-66;CY:67-76;TM:77-97;NC:98-116;TM:117-137;CY:138-156;TM:157-176;NC:177-212;TM:213-239;CY:240-258;TM:259-278;NC:279-290;TM:291-310;CY:311-328,broad cell-surface count is inflated by multipass membrane proteins,0,0,0,0,0,0,0,0,0
Q8NGS9,O13C2_HUMAN,OR13C2,Olfactory receptor 13C2 (Olfactory receptor OR9-12),,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,1,7,NC:1-24;TM:25-48;CY:49-59;TM:60-78;NC:79-97;TM:98-120;CY:121-139;TM:140-162;NC:163-196;TM:197-221;CY:222-240;TM:241-259;NC:260-278;TM:279-298;CY:299-318,Cell membrane (Multi-pass membrane protein),Cell membrane;Complete proteome;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Olfaction;Polymorphism;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Multi-pass membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Multi-pass membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=7 topology=NC:1-24;TM:25-48;CY:49-59;TM:60-78;NC:79-97;TM:98-120;CY:121-139;TM:140-162;NC:163-196;TM:197-221;CY:222-240;TM:241-259;NC:260-278;TM:279-298;CY:299-318,broad cell-surface count is inflated by multipass membrane proteins,0,0,0,0,0,0,0,0,0
Q8NGS6,O13C3_HUMAN,OR13C3,Olfactory receptor 13C3 (Olfactory receptor OR9-8),,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,1,7,NC:1-54;TM:55-78;CY:79-89;TM:90-108;NC:109-127;TM:128-150;CY:151-169;TM:170-188;NC:189-225;TM:226-251;CY:252-270;TM:271-289;NC:290-308;TM:309-328;CY:329-347,Cell membrane (Multi-pass membrane protein),Cell membrane;Complete proteome;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Olfaction;Polymorphism;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Multi-pass membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Multi-pass membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=7 topology=NC:1-54;TM:55-78;CY:79-89;TM:90-108;NC:109-127;TM:128-150;CY:151-169;TM:170-188;NC:189-225;TM:226-251;CY:252-270;TM:271-289;NC:290-308;TM:309-328;CY:329-347,broad cell-surface count is inflated by multipass membrane proteins,0,0,0,0,0,0,0,0,0
Q8NGS5,O13C4_HUMAN,OR13C4,Olfactory receptor 13C4 (Olfactory receptor OR9-7),,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,1,7,NC:1-24;TM:25-48;CY:49-59;TM:60-78;NC:79-97;TM:98-119;CY:120-138;TM:139-158;NC:159-196;TM:197-221;CY:222-240;TM:241-259;NC:260-278;TM:279-298;CY:299-318,Cell membrane (Multi-pass membrane protein),Cell membrane;Complete proteome;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Multi-pass membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Multi-pass membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=7 topology=NC:1-24;TM:25-48;CY:49-59;TM:60-78;NC:79-97;TM:98-119;CY:120-138;TM:139-158;NC:159-196;TM:197-221;CY:222-240;TM:241-259;NC:260-278;TM:279-298;CY:299-318,broad cell-surface count is inflated by multipass membrane proteins,0,0,0,0,0,0,0,0,0
Q8NGS8,O13C5_HUMAN,OR13C5,Olfactory receptor 13C5 (Olfactory receptor OR9-11),,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,1,7,NC:1-24;TM:25-48;CY:49-59;TM:60-78;NC:79-97;TM:98-120;CY:121-139;TM:140-162;NC:163-196;TM:197-221;CY:222-241;TM:242-259;NC:260-278;TM:279-298;CY:299-318,Cell membrane (Multi-pass membrane protein),Cell membrane;Complete proteome;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Olfaction;Polymorphism;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Multi-pass membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Multi-pass membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=7 topology=NC:1-24;TM:25-48;CY:49-59;TM:60-78;NC:79-97;TM:98-120;CY:121-139;TM:140-162;NC:163-196;TM:197-221;CY:222-241;TM:242-259;NC:260-278;TM:279-298;CY:299-318,broad cell-surface count is inflated by multipass membrane proteins,0,0,0,0,0,0,0,0,0
Q8NH95,O13C6_HUMAN,OR13C6P,"Putative olfactory receptor 13C6 (Olfactory receptor, family 13, subfamily C, member 6 pseudogene) (Olfactory receptor, family 13, subfamily C, member 7 pseudogene) (Putative olfactory receptor 13C7)",,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,1,3,NC:1-27;TM:28-49;CY:50-60;TM:61-83;NC:84-101;TM:102-121;CY:122-151,Cell membrane (Multi-pass membrane protein),Cell membrane;Complete proteome;G-protein coupled receptor;Glycoprotein;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Multi-pass membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Multi-pass membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=3 topology=NC:1-27;TM:28-49;CY:50-60;TM:61-83;NC:84-101;TM:102-121;CY:122-151,broad cell-surface count is inflated by multipass membrane proteins,0,0,0,0,0,0,0,0,0
P0DN81,O13C7_HUMAN,OR13C7,Olfactory receptor 13C7,,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,0,,,,,0,0,UniProt,1,0,0,0,0,Multi-pass membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Multi-pass membrane protein],broad cell-surface count is inflated by multipass membrane proteins,0,0,0,0,0,0,0,0,0
Q8NGS7,O13C8_HUMAN,OR13C8,Olfactory receptor 13C8,,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,1,7,NC:1-25;TM:26-48;CY:49-59;TM:60-81;NC:82-100;TM:101-120;CY:121-139;TM:140-162;NC:163-202;TM:203-222;CY:223-240;TM:241-260;NC:261-274;TM:275-297;CY:298-320,Cell membrane (Multi-pass membrane protein),Cell membrane;Complete proteome;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Olfaction;Polymorphism;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Multi-pass membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Multi-pass membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=7 topology=NC:1-25;TM:26-48;CY:49-59;TM:60-81;NC:82-100;TM:101-120;CY:121-139;TM:140-162;NC:163-202;TM:203-222;CY:223-240;TM:241-260;NC:261-274;TM:275-297;CY:298-320,broad cell-surface count is inflated by multipass membrane proteins,0,0,0,0,0,0,0,0,0
Q8NGT0,O13C9_HUMAN,OR13C9,Olfactory receptor 13C9 (Olfactory receptor OR9-13),,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,1,7,NC:1-24;TM:25-48;CY:49-59;TM:60-78;NC:79-97;TM:98-120;CY:121-139;TM:140-158;NC:159-196;TM:197-221;CY:222-240;TM:241-259;NC:260-278;TM:279-298;CY:299-318,Cell membrane (Multi-pass membrane protein),Cell membrane;Complete proteome;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Olfaction;Polymorphism;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Multi-pass membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Multi-pass membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=7 topology=NC:1-24;TM:25-48;CY:49-59;TM:60-78;NC:79-97;TM:98-120;CY:121-139;TM:140-158;NC:159-196;TM:197-221;CY:222-240;TM:241-259;NC:260-278;TM:279-298;CY:299-318,broad cell-surface count is inflated by multipass membrane proteins,0,0,0,0,0,0,0,0,0
Q8NGV5,O13D1_HUMAN,OR13D1,Olfactory receptor 13D1 (Olfactory receptor OR9-15),,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,1,7,NC:1-56;TM:57-80;CY:81-91;TM:92-110;NC:111-129;TM:130-151;CY:152-170;TM:171-191;NC:192-225;TM:226-253;CY:254-272;TM:273-292;NC:293-304;TM:305-324;CY:325-346,Cell membrane (Multi-pass membrane protein),Cell membrane;Complete proteome;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Olfaction;Polymorphism;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Multi-pass membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Multi-pass membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=7 topology=NC:1-56;TM:57-80;CY:81-91;TM:92-110;NC:111-129;TM:130-151;CY:152-170;TM:171-191;NC:192-225;TM:226-253;CY:254-272;TM:273-292;NC:293-304;TM:305-324;CY:325-346,broad cell-surface count is inflated by multipass membrane proteins,0,0,0,0,0,0,0,0,0
Q8NGS4,O13F1_HUMAN,OR13F1,Olfactory receptor 13F1 (Olfactory receptor OR9-6),,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,1,7,NC:1-23;TM:24-47;CY:48-58;TM:59-79;NC:80-100;TM:101-120;CY:121-140;TM:141-158;NC:159-195;TM:196-222;CY:223-236;TM:237-259;NC:260-272;TM:273-292;CY:293-319,Cell membrane (Multi-pass membrane protein),Cell membrane;Complete proteome;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Olfaction;Polymorphism;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Multi-pass membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Multi-pass membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=7 topology=NC:1-23;TM:24-47;CY:48-58;TM:59-79;NC:80-100;TM:101-120;CY:121-140;TM:141-158;NC:159-195;TM:196-222;CY:223-236;TM:237-259;NC:260-272;TM:273-292;CY:293-319,broad cell-surface count is inflated by multipass membrane proteins,0,0,0,0,0,0,0,0,0
